Geography,Geography code,Age,Sex,2012,2013,2014,2015,2016,2017
Bolton,E08000001,0,All,3999,3826,3793,3810,3862,3855
Bolton,E08000001,1,All,3866,4065,3838,3825,3820,3911
Bolton,E08000001,2,All,3895,3888,4058,3856,3851,3885
Bolton,E08000001,3,All,3777,3920,3871,4082,3881,3899
Bolton,E08000001,4,All,3755,3779,3942,3918,4128,3918
Bolton,E08000001,5,All,3690,3767,3782,3979,3955,4180
Bury,E08000002,0,All,2577,2467,2379,2368,2418,2284
Bury,E08000002,1,All,2557,2560,2479,2383,2390,2464
Bury,E08000002,2,All,2465,2548,2553,2516,2400,2377
Bury,E08000002,3,All,2401,2477,2590,2574,2537,2434
Bury,E08000002,4,All,2541,2433,2488,2597,2599,2550
Bury,E08000002,5,All,2334,2553,2437,2500,2577,2615
Manchester,E08000003,0,All,8274,7889,7891,8076,8048,7586
Manchester,E08000003,1,All,7600,8128,7751,7806,8008,7902
Manchester,E08000003,2,All,7473,7452,7992,7690,7691,7846
Manchester,E08000003,3,All,7027,7354,7366,7888,7673,7544
Manchester,E08000003,4,All,7112,7015,7306,7347,7868,7586
Manchester,E08000003,5,All,6778,7063,6907,7319,7350,7806
Oldham,E08000004,0,All,3293,3290,3320,3351,3316,3320
Oldham,E08000004,1,All,3259,3339,3346,3380,3378,3326
Oldham,E08000004,2,All,3316,3281,3362,3408,3407,3419
Oldham,E08000004,3,All,3284,3359,3315,3393,3422,3431
Oldham,E08000004,4,All,3401,3315,3330,3379,3410,3434
Oldham,E08000004,5,All,3285,3421,3326,3390,3401,3400
Salford,E08000006,0,All,3534,3606,3492,3459,3677,3580
Salford,E08000006,1,All,3553,3522,3595,3517,3467,3651
Salford,E08000006,2,All,3306,3511,3478,3576,3516,3441
Salford,E08000006,3,All,3159,3243,3527,3470,3564,3490
Salford,E08000006,4,All,3198,3178,3234,3506,3413,3530
Salford,E08000006,5,All,3074,3175,3164,3227,3526,3387
Tameside,E08000008,0,All,3028,3003,2904,2894,2929,2887
Tameside,E08000008,1,All,3010,3017,2976,2904,2876,2964
Tameside,E08000008,2,All,3040,3001,3012,3006,2911,2902
Tameside,E08000008,3,All,2821,3035,3024,3003,3023,2912
Tameside,E08000008,4,All,2913,2795,3030,3032,2997,2999
Tameside,E08000008,5,All,2649,2897,2802,3044,3041,3014
Rochdale,E08000005,0,All,3047,3031,2877,2931,2990,3053
Rochdale,E08000005,1,All,3035,3023,3017,2907,2991,3001
Rochdale,E08000005,2,All,2990,3052,3045,3017,2979,3041
Rochdale,E08000005,3,All,2935,2964,3054,3061,3094,3022
Rochdale,E08000005,4,All,2958,2885,2985,3081,3100,3119
Rochdale,E08000005,5,All,2933,2957,2886,3015,3093,3145
Stockport,E08000007,0,All,3472,3505,3488,3396,3468,3392
Stockport,E08000007,1,All,3534,3526,3590,3556,3456,3548
Stockport,E08000007,2,All,3417,3590,3618,3676,3660,3524
Stockport,E08000007,3,All,3520,3481,3621,3693,3728,3737
Stockport,E08000007,4,All,3551,3510,3494,3655,3738,3760
Stockport,E08000007,5,All,3540,3566,3566,3535,3680,3764
Trafford,E08000009,0,All,2922,2774,2882,2692,2891,2806
Trafford,E08000009,1,All,3023,2971,2840,2956,2796,2961
Trafford,E08000009,2,All,3002,3138,3067,2853,3056,2867
Trafford,E08000009,3,All,3041,3040,3220,3203,2957,3146
Trafford,E08000009,4,All,3100,3137,3141,3298,3298,3073
Trafford,E08000009,5,All,3053,3152,3181,3196,3339,3360
Wigan,E08000010,0,All,3903,3743,3717,3654,3565,3609
Wigan,E08000010,1,All,3882,3961,3740,3727,3708,3613
Wigan,E08000010,2,All,3979,3942,3976,3772,3760,3757
Wigan,E08000010,3,All,3929,3966,3986,3963,3785,3754
Wigan,E08000010,4,All,3976,3941,3978,3999,3964,3777
Wigan,E08000010,5,All,3789,3995,3993,4003,4026,3982
