"TimeID","Reg date","Authority code","Authority name","new births"
525,2014-09-01,"E08000001","Bolton",333
525,2014-09-01,"E08000002","Bury",195
525,2014-09-01,"E08000003","Manchester",682
525,2014-09-01,"E08000004","Oldham",282
525,2014-09-01,"E08000005","Rochdale",255
525,2014-09-01,"E08000006","Salford",341
525,2014-09-01,"E08000007","Stockport",297
525,2014-09-01,"E08000008","Tameside",275
525,2014-09-01,"E08000009","Trafford",225
525,2014-09-01,"E08000010","Wigan",334
526,2014-10-01,"E08000001","Bolton",323
526,2014-10-01,"E08000002","Bury",233
526,2014-10-01,"E08000003","Manchester",717
526,2014-10-01,"E08000004","Oldham",270
526,2014-10-01,"E08000005","Rochdale",246
526,2014-10-01,"E08000006","Salford",297
526,2014-10-01,"E08000007","Stockport",294
526,2014-10-01,"E08000008","Tameside",261
526,2014-10-01,"E08000009","Trafford",245
526,2014-10-01,"E08000010","Wigan",302
527,2014-11-01,"E08000001","Bolton",297
527,2014-11-01,"E08000002","Bury",181
527,2014-11-01,"E08000003","Manchester",687
527,2014-11-01,"E08000004","Oldham",262
527,2014-11-01,"E08000005","Rochdale",227
527,2014-11-01,"E08000006","Salford",271
527,2014-11-01,"E08000007","Stockport",281
527,2014-11-01,"E08000008","Tameside",237
527,2014-11-01,"E08000009","Trafford",216
527,2014-11-01,"E08000010","Wigan",278
528,2014-12-01,"E08000001","Bolton",325
528,2014-12-01,"E08000002","Bury",192
528,2014-12-01,"E08000003","Manchester",698
528,2014-12-01,"E08000004","Oldham",271
528,2014-12-01,"E08000005","Rochdale",267
528,2014-12-01,"E08000006","Salford",287
528,2014-12-01,"E08000007","Stockport",310
528,2014-12-01,"E08000008","Tameside",245
528,2014-12-01,"E08000009","Trafford",225
528,2014-12-01,"E08000010","Wigan",304
529,2015-01-01,"E08000001","Bolton",339
529,2015-01-01,"E08000002","Bury",192
529,2015-01-01,"E08000003","Manchester",689
529,2015-01-01,"E08000004","Oldham",277
529,2015-01-01,"E08000005","Rochdale",237
529,2015-01-01,"E08000006","Salford",276
529,2015-01-01,"E08000007","Stockport",270
529,2015-01-01,"E08000008","Tameside",232
529,2015-01-01,"E08000009","Trafford",207
529,2015-01-01,"E08000010","Wigan",285
530,2015-02-01,"E08000001","Bolton",292
530,2015-02-01,"E08000002","Bury",178
530,2015-02-01,"E08000003","Manchester",568
530,2015-02-01,"E08000004","Oldham",257
530,2015-02-01,"E08000005","Rochdale",229
530,2015-02-01,"E08000006","Salford",266
530,2015-02-01,"E08000007","Stockport",255
530,2015-02-01,"E08000008","Tameside",216
530,2015-02-01,"E08000009","Trafford",201
530,2015-02-01,"E08000010","Wigan",250
531,2015-03-01,"E08000001","Bolton",298
531,2015-03-01,"E08000002","Bury",204
531,2015-03-01,"E08000003","Manchester",651
531,2015-03-01,"E08000004","Oldham",261
531,2015-03-01,"E08000005","Rochdale",224
531,2015-03-01,"E08000006","Salford",269
531,2015-03-01,"E08000007","Stockport",277
531,2015-03-01,"E08000008","Tameside",228
531,2015-03-01,"E08000009","Trafford",225
531,2015-03-01,"E08000010","Wigan",311
532,2015-04-01,"E08000001","Bolton",284
532,2015-04-01,"E08000002","Bury",178
532,2015-04-01,"E08000003","Manchester",634
532,2015-04-01,"E08000004","Oldham",280
532,2015-04-01,"E08000005","Rochdale",235
532,2015-04-01,"E08000006","Salford",281
532,2015-04-01,"E08000007","Stockport",270
532,2015-04-01,"E08000008","Tameside",241
532,2015-04-01,"E08000009","Trafford",221
532,2015-04-01,"E08000010","Wigan",300
533,2015-05-01,"E08000001","Bolton",320
533,2015-05-01,"E08000002","Bury",199
533,2015-05-01,"E08000003","Manchester",662
533,2015-05-01,"E08000004","Oldham",277
533,2015-05-01,"E08000005","Rochdale",256
533,2015-05-01,"E08000006","Salford",331
533,2015-05-01,"E08000007","Stockport",287
533,2015-05-01,"E08000008","Tameside",238
533,2015-05-01,"E08000009","Trafford",248
533,2015-05-01,"E08000010","Wigan",295
534,2015-06-01,"E08000001","Bolton",287
534,2015-06-01,"E08000002","Bury",181
534,2015-06-01,"E08000003","Manchester",704
534,2015-06-01,"E08000004","Oldham",293
534,2015-06-01,"E08000005","Rochdale",213
534,2015-06-01,"E08000006","Salford",282
534,2015-06-01,"E08000007","Stockport",277
534,2015-06-01,"E08000008","Tameside",221
534,2015-06-01,"E08000009","Trafford",225
534,2015-06-01,"E08000010","Wigan",305
535,2015-07-01,"E08000001","Bolton",315
535,2015-07-01,"E08000002","Bury",212
535,2015-07-01,"E08000003","Manchester",721
535,2015-07-01,"E08000004","Oldham",286
535,2015-07-01,"E08000005","Rochdale",291
535,2015-07-01,"E08000006","Salford",332
535,2015-07-01,"E08000007","Stockport",322
535,2015-07-01,"E08000008","Tameside",266
535,2015-07-01,"E08000009","Trafford",256
535,2015-07-01,"E08000010","Wigan",345
536,2015-08-01,"E08000001","Bolton",341
536,2015-08-01,"E08000002","Bury",193
536,2015-08-01,"E08000003","Manchester",675
536,2015-08-01,"E08000004","Oldham",265
536,2015-08-01,"E08000005","Rochdale",250
536,2015-08-01,"E08000006","Salford",299
536,2015-08-01,"E08000007","Stockport",291
536,2015-08-01,"E08000008","Tameside",246
536,2015-08-01,"E08000009","Trafford",255
536,2015-08-01,"E08000010","Wigan",317
537,2015-09-01,"E08000001","Bolton",308
537,2015-09-01,"E08000002","Bury",199
537,2015-09-01,"E08000003","Manchester",686
537,2015-09-01,"E08000004","Oldham",262
537,2015-09-01,"E08000005","Rochdale",236
537,2015-09-01,"E08000006","Salford",292
537,2015-09-01,"E08000007","Stockport",273
537,2015-09-01,"E08000008","Tameside",266
537,2015-09-01,"E08000009","Trafford",246
537,2015-09-01,"E08000010","Wigan",291
538,2015-10-01,"E08000001","Bolton",329
538,2015-10-01,"E08000002","Bury",205
538,2015-10-01,"E08000003","Manchester",686
