"TimeID","Reg date","Provider URN","Provider type","Provider name","Authority code","Authority name","Registered places"
567,2018-03-31,"EY556759","Childminder","REDACTED","E08000009","Trafford",6
567,2018-03-29,"EY554553","Childcare - Non-Domestic","Manchester Learning Zone","E08000003","Manchester",0
567,2018-03-29,"EY557699","Childcare - Non-Domestic","Gillitots Holiday Club","E08000009","Trafford",0
567,2018-03-28,"EY557606","Childminder","REDACTED","E08000004","Oldham",6
567,2018-03-27,"EY556314","Childcare - Non-Domestic","Mini Miners Nursery","E08000003","Manchester",50
567,2018-03-26,"EY558073","Childcare - Non-Domestic","Stagecoach Oldham","E08000004","Oldham",0
567,2018-03-26,"EY556448","Childcare - Non-Domestic","Rainbows Out Of School Club","E08000010","Wigan",45
567,2018-03-25,"EY557282","Childminder","REDACTED","E08000010","Wigan",6
567,2018-03-25,"EY555118","Childminder","REDACTED","E08000005","Rochdale",6
567,2018-03-23,"EY557710","Childcare - Non-Domestic","Pomegranate","E08000006","Salford",59
567,2018-03-22,"EY556076","Childminder","REDACTED","E08000009","Trafford",6
567,2018-03-22,"EY553026","Childminder","REDACTED","E08000004","Oldham",6
567,2018-03-21,"EY556404","Childminder","REDACTED","E08000003","Manchester",3
567,2018-03-21,"EY555696","Childminder","REDACTED","E08000008","Tameside",6
567,2018-03-20,"EY557389","Childcare - Non-Domestic","Little Learners Before & After School","E08000004","Oldham",20
567,2018-03-15,"EY557988","Home Childcarer","REDACTED","E08000002","Bury",0
567,2018-03-15,"EY555358","Childminder","REDACTED","E08000007","Stockport",6
567,2018-03-10,"EY557763","Childminder","REDACTED","E08000004","Oldham",6
567,2018-03-09,"EY557762","Childcare - Non-Domestic","Kids Allowed Altrincham","E08000009","Trafford",15
567,2018-03-07,"EY556253","Childcare - Non-Domestic","Buttons And Bows Private Day Nursery And Pre-School","E08000010","Wigan",32
567,2018-03-03,"EY557576","Childminder","REDACTED","E08000005","Rochdale",6
567,2018-03-02,"EY557680","Childcare - Non-Domestic","Appledore Nursery And Forest School Moorside","E08000004","Oldham",18
567,2018-03-02,"EY557347","Childcare - Non-Domestic","Pear Tree Montessori Nursery Ltd","E08000009","Trafford",5
567,2018-03-01,"EY556747","Childminder","REDACTED","E08000004","Oldham",6
566,2018-02-28,"EY556135","Childminder","REDACTED","E08000008","Tameside",6
566,2018-02-28,"EY556551","Childcare - Non-Domestic","St Thomas More Play Group","E08000005","Rochdale",20
566,2018-02-27,"EY554141","Childminder","REDACTED","E08000003","Manchester",3
566,2018-02-27,"EY557350","Childcare - Non-Domestic","Kids Mix St. Monicas","E08000009","Trafford",15
