"Region/Country code","Region/Country name","Local authority code","Local authority","Date","new houses"
"E12000002","North West","E08000001","Bolton","Dec-95",534
"E12000002","North West","E08000002","Bury","Dec-95",363
"E12000002","North West","E08000003","Manchester","Dec-95",645
"E12000002","North West","E08000004","Oldham","Dec-95",385
"E12000002","North West","E08000005","Rochdale","Dec-95",500
"E12000002","North West","E08000006","Salford","Dec-95",605
"E12000002","North West","E08000007","Stockport","Dec-95",217
"E12000002","North West","E08000008","Tameside","Dec-95",325
"E12000002","North West","E08000009","Trafford","Dec-95",287
"E12000002","North West","E08000010","Wigan","Dec-95",791
"E12000002","North West","E08000001","Bolton","Mar-96",558
"E12000002","North West","E08000002","Bury","Mar-96",327
"E12000002","North West","E08000003","Manchester","Mar-96",598
"E12000002","North West","E08000004","Oldham","Mar-96",417
"E12000002","North West","E08000005","Rochdale","Mar-96",503
"E12000002","North West","E08000006","Salford","Mar-96",583
"E12000002","North West","E08000007","Stockport","Mar-96",244
"E12000002","North West","E08000008","Tameside","Mar-96",308
"E12000002","North West","E08000009","Trafford","Mar-96",259
"E12000002","North West","E08000010","Wigan","Mar-96",874
"E12000002","North West","E08000001","Bolton","Jun-96",641
"E12000002","North West","E08000002","Bury","Jun-96",288
"E12000002","North West","E08000003","Manchester","Jun-96",547
"E12000002","North West","E08000004","Oldham","Jun-96",423
"E12000002","North West","E08000005","Rochdale","Jun-96",487
"E12000002","North West","E08000006","Salford","Jun-96",555
"E12000002","North West","E08000007","Stockport","Jun-96",244
"E12000002","North West","E08000008","Tameside","Jun-96",300
"E12000002","North West","E08000009","Trafford","Jun-96",235
"E12000002","North West","E08000010","Wigan","Jun-96",995
"E12000002","North West","E08000001","Bolton","Sep-96",678
"E12000002","North West","E08000002","Bury","Sep-96",275
"E12000002","North West","E08000003","Manchester","Sep-96",538
"E12000002","North West","E08000004","Oldham","Sep-96",458
"E12000002","North West","E08000005","Rochdale","Sep-96",449
"E12000002","North West","E08000006","Salford","Sep-96",569
"E12000002","North West","E08000007","Stockport","Sep-96",235
"E12000002","North West","E08000008","Tameside","Sep-96",280
"E12000002","North West","E08000009","Trafford","Sep-96",237
"E12000002","North West","E08000010","Wigan","Sep-96",1022
"E12000002","North West","E08000001","Bolton","Dec-96",714
"E12000002","North West","E08000002","Bury","Dec-96",291
"E12000002","North West","E08000003","Manchester","Dec-96",539
"E12000002","North West","E08000004","Oldham","Dec-96",489
"E12000002","North West","E08000005","Rochdale","Dec-96",422
"E12000002","North West","E08000006","Salford","Dec-96",642
"E12000002","North West","E08000007","Stockport","Dec-96",219
"E12000002","North West","E08000008","Tameside","Dec-96",265
"E12000002","North West","E08000009","Trafford","Dec-96",244
"E12000002","North West","E08000010","Wigan","Dec-96",1127
"E12000002","North West","E08000001","Bolton","Mar-97",746
"E12000002","North West","E08000002","Bury","Mar-97",281
"E12000002","North West","E08000003","Manchester","Mar-97",585
"E12000002","North West","E08000004","Oldham","Mar-97",495
"E12000002","North West","E08000005","Rochdale","Mar-97",374
"E12000002","North West","E08000006","Salford","Mar-97",600
"E12000002","North West","E08000007","Stockport","Mar-97",194
