"Local authority code","Local authority","Age","month","year","count"
"E08000001","Bolton",0,"NA","2012",3999
"E08000001","Bolton",1,"NA","2012",3866
"E08000001","Bolton",2,"NA","2012",3895
"E08000001","Bolton",3,"NA","2012",3777
"E08000001","Bolton",4,"NA","2012",3755
"E08000001","Bolton",5,"NA","2012",3690
"E08000002","Bury",0,"NA","2012",2577
"E08000002","Bury",1,"NA","2012",2557
"E08000002","Bury",2,"NA","2012",2465
"E08000002","Bury",3,"NA","2012",2401
"E08000002","Bury",4,"NA","2012",2541
"E08000002","Bury",5,"NA","2012",2334
"E08000003","Manchester",0,"NA","2012",8274
"E08000003","Manchester",1,"NA","2012",7600
"E08000003","Manchester",2,"NA","2012",7473
"E08000003","Manchester",3,"NA","2012",7027
"E08000003","Manchester",4,"NA","2012",7112
"E08000003","Manchester",5,"NA","2012",6778
"E08000004","Oldham",0,"NA","2012",3293
"E08000004","Oldham",1,"NA","2012",3259
"E08000004","Oldham",2,"NA","2012",3316
"E08000004","Oldham",3,"NA","2012",3284
"E08000004","Oldham",4,"NA","2012",3401
"E08000004","Oldham",5,"NA","2012",3285
"E08000006","Salford",0,"NA","2012",3534
"E08000006","Salford",1,"NA","2012",3553
"E08000006","Salford",2,"NA","2012",3306
"E08000006","Salford",3,"NA","2012",3159
"E08000006","Salford",4,"NA","2012",3198
"E08000006","Salford",5,"NA","2012",3074
"E08000008","Tameside",0,"NA","2012",3028
"E08000008","Tameside",1,"NA","2012",3010
"E08000008","Tameside",2,"NA","2012",3040
"E08000008","Tameside",3,"NA","2012",2821
"E08000008","Tameside",4,"NA","2012",2913
"E08000008","Tameside",5,"NA","2012",2649
"E08000005","Rochdale",0,"NA","2012",3047
"E08000005","Rochdale",1,"NA","2012",3035
"E08000005","Rochdale",2,"NA","2012",2990
"E08000005","Rochdale",3,"NA","2012",2935
"E08000005","Rochdale",4,"NA","2012",2958
"E08000005","Rochdale",5,"NA","2012",2933
"E08000007","Stockport",0,"NA","2012",3472
"E08000007","Stockport",1,"NA","2012",3534
"E08000007","Stockport",2,"NA","2012",3417
"E08000007","Stockport",3,"NA","2012",3520
"E08000007","Stockport",4,"NA","2012",3551
"E08000007","Stockport",5,"NA","2012",3540
"E08000009","Trafford",0,"NA","2012",2922
"E08000009","Trafford",1,"NA","2012",3023
"E08000009","Trafford",2,"NA","2012",3002
"E08000009","Trafford",3,"NA","2012",3041
"E08000009","Trafford",4,"NA","2012",3100
"E08000009","Trafford",5,"NA","2012",3053
"E08000010","Wigan",0,"NA","2012",3903
"E08000010","Wigan",1,"NA","2012",3882
"E08000010","Wigan",2,"NA","2012",3979
"E08000010","Wigan",3,"NA","2012",3929
"E08000010","Wigan",4,"NA","2012",3976
"E08000010","Wigan",5,"NA","2012",3789
"E08000001","Bolton",0,"NA","2013",3826
"E08000001","Bolton",1,"NA","2013",4065
"E08000001","Bolton",2,"NA","2013",3888
"E08000001","Bolton",3,"NA","2013",3920
"E08000001","Bolton",4,"NA","2013",3779
"E08000001","Bolton",5,"NA","2013",3767
"E08000002","Bury",0,"NA","2013",2467
"E08000002","Bury",1,"NA","2013",2560
"E08000002","Bury",2,"NA","2013",2548
"E08000002","Bury",3,"NA","2013",2477
"E08000002","Bury",4,"NA","2013",2433
"E08000002","Bury",5,"NA","2013",2553
"E08000003","Manchester",0,"NA","2013",7889
"E08000003","Manchester",1,"NA","2013",8128
"E08000003","Manchester",2,"NA","2013",7452
"E08000003","Manchester",3,"NA","2013",7354
"E08000003","Manchester",4,"NA","2013",7015
"E08000003","Manchester",5,"NA","2013",7063
"E08000004","Oldham",0,"NA","2013",3290
"E08000004","Oldham",1,"NA","2013",3339
"E08000004","Oldham",2,"NA","2013",3281
"E08000004","Oldham",3,"NA","2013",3359
"E08000004","Oldham",4,"NA","2013",3315
"E08000004","Oldham",5,"NA","2013",3421
"E08000006","Salford",0,"NA","2013",3606
"E08000006","Salford",1,"NA","2013",3522
"E08000006","Salford",2,"NA","2013",3511
"E08000006","Salford",3,"NA","2013",3243
"E08000006","Salford",4,"NA","2013",3178
"E08000006","Salford",5,"NA","2013",3175
"E08000008","Tameside",0,"NA","2013",3003
"E08000008","Tameside",1,"NA","2013",3017
"E08000008","Tameside",2,"NA","2013",3001
"E08000008","Tameside",3,"NA","2013",3035
"E08000008","Tameside",4,"NA","2013",2795
"E08000008","Tameside",5,"NA","2013",2897
"E08000005","Rochdale",0,"NA","2013",3031
"E08000005","Rochdale",1,"NA","2013",3023
"E08000005","Rochdale",2,"NA","2013",3052
"E08000005","Rochdale",3,"NA","2013",2964
"E08000005","Rochdale",4,"NA","2013",2885
"E08000005","Rochdale",5,"NA","2013",2957
"E08000007","Stockport",0,"NA","2013",3505
"E08000007","Stockport",1,"NA","2013",3526
"E08000007","Stockport",2,"NA","2013",3590
"E08000007","Stockport",3,"NA","2013",3481
"E08000007","Stockport",4,"NA","2013",3510
"E08000007","Stockport",5,"NA","2013",3566
"E08000009","Trafford",0,"NA","2013",2774
"E08000009","Trafford",1,"NA","2013",2971
"E08000009","Trafford",2,"NA","2013",3138
"E08000009","Trafford",3,"NA","2013",3040
"E08000009","Trafford",4,"NA","2013",3137
"E08000009","Trafford",5,"NA","2013",3152
"E08000010","Wigan",0,"NA","2013",3743
"E08000010","Wigan",1,"NA","2013",3961
"E08000010","Wigan",2,"NA","2013",3942
"E08000010","Wigan",3,"NA","2013",3966
"E08000010","Wigan",4,"NA","2013",3941
"E08000010","Wigan",5,"NA","2013",3995
"E08000001","Bolton",0,"NA","2014",3793
"E08000001","Bolton",1,"NA","2014",3838
"E08000001","Bolton",2,"NA","2014",4058
"E08000001","Bolton",3,"NA","2014",3871
"E08000001","Bolton",4,"NA","2014",3942
"E08000001","Bolton",5,"NA","2014",3782
"E08000002","Bury",0,"NA","2014",2379
"E08000002","Bury",1,"NA","2014",2479
"E08000002","Bury",2,"NA","2014",2553
"E08000002","Bury",3,"NA","2014",2590
"E08000002","Bury",4,"NA","2014",2488
"E08000002","Bury",5,"NA","2014",2437
"E08000003","Manchester",0,"NA","2014",7891
"E08000003","Manchester",1,"NA","2014",7751
"E08000003","Manchester",2,"NA","2014",7992
