"Authority code","Authority name","Date","new births"
"E08000001","Bolton","01/09/2014",333
"E08000002","Bury","01/09/2014",195
"E08000003","Manchester","01/09/2014",682
"E08000004","Oldham","01/09/2014",282
"E08000005","Rochdale","01/09/2014",255
"E08000006","Salford","01/09/2014",341
"E08000007","Stockport","01/09/2014",297
"E08000008","Tameside","01/09/2014",275
"E08000009","Trafford","01/09/2014",225
"E08000010","Wigan","01/09/2014",334
"E08000001","Bolton","01/10/2014",323
"E08000002","Bury","01/10/2014",233
"E08000003","Manchester","01/10/2014",717
"E08000004","Oldham","01/10/2014",270
"E08000005","Rochdale","01/10/2014",246
"E08000006","Salford","01/10/2014",297
"E08000007","Stockport","01/10/2014",294
"E08000008","Tameside","01/10/2014",261
"E08000009","Trafford","01/10/2014",245
"E08000010","Wigan","01/10/2014",302
"E08000001","Bolton","01/11/2014",297
"E08000002","Bury","01/11/2014",181
"E08000003","Manchester","01/11/2014",687
"E08000004","Oldham","01/11/2014",262
"E08000005","Rochdale","01/11/2014",227
"E08000006","Salford","01/11/2014",271
"E08000007","Stockport","01/11/2014",281
"E08000008","Tameside","01/11/2014",237
"E08000009","Trafford","01/11/2014",216
"E08000010","Wigan","01/11/2014",278
"E08000001","Bolton","01/12/2014",325
"E08000002","Bury","01/12/2014",192
"E08000003","Manchester","01/12/2014",698
"E08000004","Oldham","01/12/2014",271
"E08000005","Rochdale","01/12/2014",267
"E08000006","Salford","01/12/2014",287
"E08000007","Stockport","01/12/2014",310
"E08000008","Tameside","01/12/2014",245
"E08000009","Trafford","01/12/2014",225
"E08000010","Wigan","01/12/2014",304
"E08000001","Bolton","01/01/2015",339
"E08000002","Bury","01/01/2015",192
"E08000003","Manchester","01/01/2015",689
"E08000004","Oldham","01/01/2015",277
"E08000005","Rochdale","01/01/2015",237
"E08000006","Salford","01/01/2015",276
"E08000007","Stockport","01/01/2015",270
"E08000008","Tameside","01/01/2015",232
"E08000009","Trafford","01/01/2015",207
"E08000010","Wigan","01/01/2015",285
"E08000001","Bolton","01/02/2015",292
"E08000002","Bury","01/02/2015",178
"E08000003","Manchester","01/02/2015",568
"E08000004","Oldham","01/02/2015",257
"E08000005","Rochdale","01/02/2015",229
"E08000006","Salford","01/02/2015",266
"E08000007","Stockport","01/02/2015",255
"E08000008","Tameside","01/02/2015",216
"E08000009","Trafford","01/02/2015",201
"E08000010","Wigan","01/02/2015",250
"E08000001","Bolton","01/03/2015",298
"E08000002","Bury","01/03/2015",204
"E08000003","Manchester","01/03/2015",651
"E08000004","Oldham","01/03/2015",261
"E08000005","Rochdale","01/03/2015",224
"E08000006","Salford","01/03/2015",269
"E08000007","Stockport","01/03/2015",277
"E08000008","Tameside","01/03/2015",228
"E08000009","Trafford","01/03/2015",225
"E08000010","Wigan","01/03/2015",311
"E08000001","Bolton","01/04/2015",284
"E08000002","Bury","01/04/2015",178
"E08000003","Manchester","01/04/2015",634
"E08000004","Oldham","01/04/2015",280
"E08000005","Rochdale","01/04/2015",235
"E08000006","Salford","01/04/2015",281
"E08000007","Stockport","01/04/2015",270
"E08000008","Tameside","01/04/2015",241
"E08000009","Trafford","01/04/2015",221
"E08000010","Wigan","01/04/2015",300
"E08000001","Bolton","01/05/2015",320
"E08000002","Bury","01/05/2015",199
"E08000003","Manchester","01/05/2015",662
"E08000004","Oldham","01/05/2015",277
"E08000005","Rochdale","01/05/2015",256
"E08000006","Salford","01/05/2015",331
"E08000007","Stockport","01/05/2015",287
"E08000008","Tameside","01/05/2015",238
"E08000009","Trafford","01/05/2015",248
"E08000010","Wigan","01/05/2015",295
"E08000001","Bolton","01/06/2015",287
"E08000002","Bury","01/06/2015",181
"E08000003","Manchester","01/06/2015",704
"E08000004","Oldham","01/06/2015",293
"E08000005","Rochdale","01/06/2015",213
"E08000006","Salford","01/06/2015",282
"E08000007","Stockport","01/06/2015",277
"E08000008","Tameside","01/06/2015",221
"E08000009","Trafford","01/06/2015",225
"E08000010","Wigan","01/06/2015",305
"E08000001","Bolton","01/07/2015",315
"E08000002","Bury","01/07/2015",212
"E08000003","Manchester","01/07/2015",721
"E08000004","Oldham","01/07/2015",286
"E08000005","Rochdale","01/07/2015",291
"E08000006","Salford","01/07/2015",332
"E08000007","Stockport","01/07/2015",322
"E08000008","Tameside","01/07/2015",266
"E08000009","Trafford","01/07/2015",256
"E08000010","Wigan","01/07/2015",345
"E08000001","Bolton","01/08/2015",341
"E08000002","Bury","01/08/2015",193
"E08000003","Manchester","01/08/2015",675
"E08000004","Oldham","01/08/2015",265
"E08000005","Rochdale","01/08/2015",250
"E08000006","Salford","01/08/2015",299
"E08000007","Stockport","01/08/2015",291
"E08000008","Tameside","01/08/2015",246
"E08000009","Trafford","01/08/2015",255
"E08000010","Wigan","01/08/2015",317
"E08000001","Bolton","01/09/2015",308
"E08000002","Bury","01/09/2015",199
"E08000003","Manchester","01/09/2015",686
"E08000004","Oldham","01/09/2015",262
"E08000005","Rochdale","01/09/2015",236
"E08000006","Salford","01/09/2015",292
"E08000007","Stockport","01/09/2015",273
"E08000008","Tameside","01/09/2015",266
"E08000009","Trafford","01/09/2015",246
"E08000010","Wigan","01/09/2015",291
"E08000001","Bolton","01/10/2015",329
"E08000002","Bury","01/10/2015",205
"E08000003","Manchester","01/10/2015",686
"E08000004","Oldham","01/10/2015",271
"E08000005","Rochdale","01/10/2015",245
"E08000006","Salford","01/10/2015",313
"E08000007","Stockport","01/10/2015",302
"E08000008","Tameside","01/10/2015",235
"E08000009","Trafford","01/10/2015",271
"E08000010","Wigan","01/10/2015",278
"E08000001","Bolton","01/11/2015",344
"E08000002","Bury","01/11/2015",206
"E08000003","Manchester","01/11/2015",663
"E08000004","Oldham","01/11/2015",306
"E08000005","Rochdale","01/11/2015",247
"E08000006","Salford","01/11/2015",298
"E08000007","Stockport","01/11/2015",296
"E08000008","Tameside","01/11/2015",243
"E08000009","Trafford","01/11/2015",236
"E08000010","Wigan","01/11/2015",323
"E08000001","Bolton","01/12/2015",331
"E08000002","Bury","01/12/2015",209
"E08000003","Manchester","01/12/2015",712
"E08000004","Oldham","01/12/2015",301
"E08000005","Rochdale","01/12/2015",231
"E08000006","Salford","01/12/2015",319
"E08000007","Stockport","01/12/2015",258
"E08000008","Tameside","01/12/2015",242
"E08000009","Trafford","01/12/2015",237
"E08000010","Wigan","01/12/2015",281
"E08000001","Bolton","01/01/2016",304
"E08000002","Bury","01/01/2016",197
"E08000003","Manchester","01/01/2016",661
"E08000004","Oldham","01/01/2016",248
"E08000005","Rochdale","01/01/2016",251
"E08000006","Salford","01/01/2016",324
"E08000007","Stockport","01/01/2016",303
"E08000008","Tameside","01/01/2016",231
"E08000009","Trafford","01/01/2016",231
"E08000010","Wigan","01/01/2016",263
"E08000001","Bolton","01/02/2016",329
"E08000002","Bury","01/02/2016",203
"E08000003","Manchester","01/02/2016",616
"E08000004","Oldham","01/02/2016",275
"E08000005","Rochdale","01/02/2016",242
"E08000006","Salford","01/02/2016",272
"E08000007","Stockport","01/02/2016",286
"E08000008","Tameside","01/02/2016",235
"E08000009","Trafford","01/02/2016",219
"E08000010","Wigan","01/02/2016",266
"E08000001","Bolton","01/03/2016",298
"E08000002","Bury","01/03/2016",220
"E08000003","Manchester","01/03/2016",591
"E08000004","Oldham","01/03/2016",276
"E08000005","Rochdale","01/03/2016",230
"E08000006","Salford","01/03/2016",313
"E08000007","Stockport","01/03/2016",268
"E08000008","Tameside","01/03/2016",223
"E08000009","Trafford","01/03/2016",214
"E08000010","Wigan","01/03/2016",311
"E08000001","Bolton","01/04/2016",294
"E08000002","Bury","01/04/2016",208
"E08000003","Manchester","01/04/2016",641
"E08000004","Oldham","01/04/2016",277
"E08000005","Rochdale","01/04/2016",257
"E08000006","Salford","01/04/2016",295
"E08000007","Stockport","01/04/2016",270
"E08000008","Tameside","01/04/2016",227
"E08000009","Trafford","01/04/2016",222
"E08000010","Wigan","01/04/2016",282
"E08000001","Bolton","01/05/2016",316
"E08000002","Bury","01/05/2016",198
"E08000003","Manchester","01/05/2016",696
"E08000004","Oldham","01/05/2016",283
"E08000005","Rochdale","01/05/2016",242
"E08000006","Salford","01/05/2016",322
"E08000007","Stockport","01/05/2016",311
"E08000008","Tameside","01/05/2016",263
"E08000009","Trafford","01/05/2016",227
"E08000010","Wigan","01/05/2016",311
"E08000001","Bolton","01/06/2016",328
"E08000002","Bury","01/06/2016",172
"E08000003","Manchester","01/06/2016",724
"E08000004","Oldham","01/06/2016",273
"E08000005","Rochdale","01/06/2016",258
"E08000006","Salford","01/06/2016",289
"E08000007","Stockport","01/06/2016",259
"E08000008","Tameside","01/06/2016",249
"E08000009","Trafford","01/06/2016",255
"E08000010","Wigan","01/06/2016",311
"E08000001","Bolton","01/07/2016",318
"E08000002","Bury","01/07/2016",169
"E08000003","Manchester","01/07/2016",719
"E08000004","Oldham","01/07/2016",312
"E08000005","Rochdale","01/07/2016",260
"E08000006","Salford","01/07/2016",347
"E08000007","Stockport","01/07/2016",263
"E08000008","Tameside","01/07/2016",257
"E08000009","Trafford","01/07/2016",239
"E08000010","Wigan","01/07/2016",323
"E08000001","Bolton","01/08/2016",349
"E08000002","Bury","01/08/2016",218
"E08000003","Manchester","01/08/2016",695
"E08000004","Oldham","01/08/2016",286
"E08000005","Rochdale","01/08/2016",262
"E08000006","Salford","01/08/2016",329
"E08000007","Stockport","01/08/2016",303
"E08000008","Tameside","01/08/2016",238
"E08000009","Trafford","01/08/2016",243
"E08000010","Wigan","01/08/2016",284
"E08000001","Bolton","01/09/2016",332
"E08000002","Bury","01/09/2016",207
"E08000003","Manchester","01/09/2016",679
"E08000004","Oldham","01/09/2016",293
"E08000005","Rochdale","01/09/2016",277
"E08000006","Salford","01/09/2016",307
"E08000007","Stockport","01/09/2016",286
"E08000008","Tameside","01/09/2016",241
"E08000009","Trafford","01/09/2016",273
"E08000010","Wigan","01/09/2016",335
"E08000001","Bolton","01/10/2016",330
"E08000002","Bury","01/10/2016",191
"E08000003","Manchester","01/10/2016",672
"E08000004","Oldham","01/10/2016",262
"E08000005","Rochdale","01/10/2016",289
